paragraph_index,original_text
17,"(ed.) Kanailal Adhikari. (Mayapur: Gopinath Gaudiya Math, 1998) (mula, Baladeva and Sarva-samvādinī). "
18,Puridas edition of 1953 for Sarva-samvādinī. [This edition has been used by 2 and 3 above.] 
19,"Another edition of Sarva-samvādinī, (ed.) Rasikamohan Sarma Vidyabhusana (Bangiya Sahitya Parisat, 1327=1921 CE)."
21,"The numbering has been adjusted slightly. The old numbering system has been kept, but the following should be noted. The Tattva-sandarbha differs from the other five sandarbhas in that it is divided into two sections—the Pramāṇa-prakaraṇam and the Prameya-prakaraṇam. The first section establishes the authority of the Bhāgavatam as a source of revealed knowledge or shabda. The second enters into the content of the Bhāgavata-sandarbha. Thus the numbering system followed throughout the rest of the Bhāgavata-sandarbha only begins with the Prameya-prakaraṇam, with each section corresponding to the main Bhāgavata verse under discussion. This is apparently what Puridas followed in the numbering in his Sarva-samvādinī edition. Baladeva is the apparent source of the current numbering system, which he himself announces at the end of the commentary to the first verse. "
26,Sarva-samvādinī is in green.
2041,Alternative reading: veda rāmāyaṇe puṇye bhārate bharatarṣabha | ādāv cānte ca madhye ca hariḥ sarvatra gīyate ||
2043,"This is actually Hari-līlā, 1.9."
